City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
168,Sikasso,ML,2020-04-19 15:56:24,10.92,-7.0,106.65,15,95,2.01,overcast clouds,0.0,0.0
169,Tessalit,ML,2020-04-19 15:56:25,20.2,1.01,104.68,7,77,18.97,broken clouds,0.0,0.0
170,Haines Junction,CA,2020-04-19 15:53:49,60.75,-137.51,39.0,56,100,2.08,overcast clouds,0.0,0.0
171,Pyay,MM,2020-04-19 15:56:25,18.82,95.22,82.58,54,6,5.19,clear sky,0.0,0.0
172,Saint-Pierre,RE,2020-04-19 15:54:40,-21.34,55.48,77.0,78,20,19.46,few clouds,0.0,0.0
173,Fort Nelson,CA,2020-04-19 15:48:56,58.81,-122.7,46.4,52,75,2.24,broken clouds,0.0,0.0
174,Buala,SB,2020-04-19 15:55:02,-8.14,159.59,81.0,80,96,3.69,light rain,0.68,0.0
175,Surt,LY,2020-04-19 15:56:26,31.21,16.59,77.54,27,14,13.38,few clouds,0.0,0.0
176,San Marcos,US,2020-04-19 15:55:24,33.14,-117.17,62.01,71,90,4.7,overcast clouds,0.0,0.0
177,Kadoma,JP,2020-04-19 15:56:27,34.73,135.58,57.99,67,100,5.61,light rain,1.2,0.0
178,Bethel,US,2020-04-19 15:54:28,41.37,-73.41,55.0,43,1,14.99,clear sky,0.0,0.0
179,Melito Di Porto Salvo,IT,2020-04-19 15:56:27,37.92,15.77,66.2,63,30,11.41,scattered clouds,0.0,0.0
180,East London,ZA,2020-04-19 15:54:02,-33.02,27.91,79.93,62,6,21.18,clear sky,0.0,0.0
181,Chilca,PE,2020-04-19 15:56:28,-12.52,-76.74,75.2,64,16,4.7,few clouds,0.0,0.0
182,Cooma,AU,2020-04-19 15:56:28,-36.23,149.13,48.2,61,82,14.99,broken clouds,0.0,0.0
183,Nosy Varika,MG,2020-04-19 15:49:39,-20.58,48.53,75.16,84,23,6.91,light rain,2.37,0.0
184,Cortez,US,2020-04-19 15:56:28,37.35,-108.59,50.0,61,1,3.36,clear sky,0.0,0.0
185,Upernavik,GL,2020-04-19 15:54:29,72.79,-56.15,24.33,87,86,35.1,overcast clouds,0.0,0.0
186,Hofn,IS,2020-04-19 15:56:29,64.25,-15.21,46.4,87,90,8.05,shower rain,0.0,0.0
187,Lobez,PL,2020-04-19 15:56:29,53.64,15.62,51.8,37,0,11.41,clear sky,0.0,0.0
188,Saint-Denis,FR,2020-04-19 15:56:29,48.92,2.33,68.0,52,20,11.41,few clouds,0.0,0.0
189,Luchegorsk,RU,2020-04-19 15:56:29,46.48,134.26,48.38,56,100,7.85,overcast clouds,0.0,0.0
190,Iqaluit,CA,2020-04-19 15:54:44,63.75,-68.51,-4.0,70,5,2.24,clear sky,0.0,0.0
191,Asau,RO,2020-04-19 15:49:44,46.43,26.4,57.2,62,75,6.93,broken clouds,0.0,0.0
192,Nanortalik,GL,2020-04-19 15:53:47,60.14,-45.24,29.48,89,14,14.0,few clouds,0.0,0.0
193,Mamallapuram,IN,2020-04-19 15:56:30,12.63,80.17,86.0,79,20,8.05,few clouds,0.0,0.0
194,Caravelas,BR,2020-04-19 15:51:48,-17.71,-39.25,77.56,80,90,17.6,light rain,0.75,0.0
195,Damara,CF,2020-04-19 15:56:31,4.96,18.7,87.8,62,75,5.82,broken clouds,0.0,0.0
196,Rocha,UY,2020-04-19 15:54:15,-34.48,-54.33,71.83,63,0,8.59,clear sky,0.0,0.0
197,Hennenman,ZA,2020-04-19 15:56:31,-27.98,27.02,75.0,53,0,6.26,clear sky,0.0,0.0
198,San Patricio,MX,2020-04-19 15:50:09,19.22,-104.7,77.0,78,5,3.42,clear sky,0.0,0.0
199,Cavalcante,BR,2020-04-19 15:56:32,-13.8,-47.46,76.82,57,98,6.67,light rain,0.27,0.0
200,Tabuk,PH,2020-04-19 15:56:32,17.42,121.44,76.66,83,100,2.06,light rain,1.84,0.0
201,Muisne,EC,2020-04-19 15:56:32,0.6,-80.03,82.4,83,75,5.82,broken clouds,0.0,0.0
202,Xam Nua,LA,2020-04-19 15:56:32,20.42,104.04,73.04,43,49,2.44,scattered clouds,0.0,0.0
203,Dunstable,GB,2020-04-19 15:56:33,51.89,-0.52,61.0,38,0,14.99,clear sky,0.0,0.0
204,Manta,EC,2020-04-19 15:46:55,-0.95,-80.73,82.4,69,75,4.7,broken clouds,0.0,0.0
205,Santo Domingo,DO,2020-04-19 15:54:21,18.5,-69.99,87.8,62,40,11.41,scattered clouds,0.0,0.0
206,Anadyr,RU,2020-04-19 15:54:50,64.75,177.48,15.8,85,40,2.24,light snow,0.0,0.0
207,Mizdah,LY,2020-04-19 15:56:34,31.45,12.98,91.13,13,100,18.05,overcast clouds,0.0,0.0
208,Aguimes,ES,2020-04-19 15:49:08,27.91,-15.45,73.4,53,20,26.4,few clouds,0.0,0.0
209,Doaba,PK,2020-04-19 15:56:34,33.42,70.74,70.29,37,99,2.35,light rain,0.44,0.0
210,Mahebourg,MU,2020-04-19 15:53:58,-20.41,57.7,78.01,73,40,11.41,scattered clouds,0.0,0.0
211,Muroto,JP,2020-04-19 15:56:34,33.28,134.15,59.54,85,100,14.07,moderate rain,3.46,0.0
212,Bokoro,TD,2020-04-19 15:56:35,12.38,17.06,107.42,6,43,6.55,scattered clouds,0.0,0.0
213,Itaituba,BR,2020-04-19 15:53:57,-4.28,-55.98,82.4,83,75,6.93,shower rain,0.0,0.0
214,Umm Kaddadah,SD,2020-04-19 15:54:34,13.6,26.69,97.86,7,0,11.45,clear sky,0.0,0.0
215,Saint-Philippe,RE,2020-04-19 15:52:55,-21.36,55.77,77.0,78,20,19.46,few clouds,0.0,0.0
216,Qasigiannguit,GL,2020-04-19 15:56:35,68.82,-51.19,28.4,50,10,16.11,clear sky,0.0,0.0
217,Port Elizabeth,ZA,2020-04-19 15:54:05,-33.92,25.57,78.8,57,0,6.93,clear sky,0.0,0.0
218,Marawi,PH,2020-04-19 15:56:36,8.0,124.29,69.85,73,98,2.51,overcast clouds,0.0,0.0
219,Lompoc,US,2020-04-19 15:49:20,34.64,-120.46,53.6,87,1,3.36,clear sky,0.0,0.0
220,Barrow,US,2020-04-19 15:54:22,71.29,-156.79,8.6,78,90,3.36,light snow,0.0,0.0
221,Skovorodino,RU,2020-04-19 15:56:36,53.98,123.92,16.99,85,5,7.0,clear sky,0.0,0.0
222,Ewo,CG,2020-04-19 15:56:37,-0.87,14.82,85.44,51,69,1.21,broken clouds,0.0,0.0
223,Am Timan,TD,2020-04-19 15:56:37,11.03,20.28,105.42,6,32,7.4,scattered clouds,0.0,0.0
224,Karratha,AU,2020-04-19 15:53:46,-20.74,116.85,83.7,61,99,8.1,overcast clouds,0.0,0.0
225,Dikson,RU,2020-04-19 15:54:15,73.51,80.55,35.98,92,100,23.87,light rain,0.54,0.0
226,Merrill,US,2020-04-19 15:56:37,45.18,-89.68,41.0,48,75,9.17,broken clouds,0.0,0.0
227,Aklavik,CA,2020-04-19 15:54:34,68.22,-135.01,14.0,51,75,6.93,broken clouds,0.0,0.0
228,Abu Samrah,SY,2020-04-19 15:56:38,35.3,37.18,79.81,23,50,5.84,scattered clouds,0.0,0.0
229,Atid,RO,2020-04-19 15:56:38,46.45,25.05,57.2,71,20,9.17,few clouds,0.0,0.0
230,Valparaiso,CL,2020-04-19 15:56:38,-33.04,-71.63,77.0,57,0,6.93,clear sky,0.0,0.0
