City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
294,Altay,CN,2020-04-18 21:45:30,47.87,88.12,47.35,33,100,3.78
295,San Patricio,MX,2020-04-18 21:42:39,19.22,-104.7,80.6,83,20,17.22
296,Mar Del Plata,AR,2020-04-18 21:42:12,-38.0,-57.56,72.0,56,1,6.93
297,Semey,KZ,2020-04-18 21:45:30,50.41,80.23,49.19,57,0,2.01
298,Izhmorskiy,RU,2020-04-18 21:45:31,56.19,86.64,38.68,72,15,9.37
299,Indianola,US,2020-04-18 21:45:31,41.36,-93.56,64.4,45,20,25.28
300,Avera,US,2020-04-18 21:42:17,33.19,-82.53,78.8,27,1,8.05
301,Hambantota,LK,2020-04-18 21:45:32,6.12,81.12,81.46,80,23,6.29
302,Kingussie,GB,2020-04-18 21:45:32,57.08,-4.05,43.0,87,0,2.24
303,Kamenka,RU,2020-04-18 21:45:32,51.32,42.77,36.0,85,0,1.01
